theme,url,img,lines,author
HUMILITY,/inspirational-quotes/7039-true-humility-is-being-able-to-accept,https://assets.passiton.com/quotes/quote_artwork/7039/medium/20220928_wednesday_quote.jpg,True humility is being able to accept criticisms as graciously as we accept compliments.,<Author:0x00007faace100d30>
HUMILITY,/inspirational-quotes/7922-pride-is-concerned-with-who-is-right-humility,https://assets.passiton.com/quotes/quote_artwork/7922/medium/20220927_tuesday_quote.jpg,Pride is concerned with who is right. Humility is concerned with what is right.,<Author:0x00007faace14b1f0>
HUMILITY,/inspirational-quotes/8094-humility-is-the-solid-foundation-of-all-virtues,https://assets.passiton.com/quotes/quote_artwork/8094/medium/20220926_monday_quote.jpg,Humility is the solid foundation of all virtues.,<Author:0x00007faace139d10>
ACCEPTANCE,/inspirational-quotes/8361-acceptance-doesnt-mean-resignation-it-means,https://assets.passiton.com/quotes/quote_artwork/8361/medium/20220923_friday_quote.jpg,Acceptance doesn't mean resignation; it means understanding that something is what it is and that there's got to be a way through it.,<Author:0x00007faace128588>
ACCEPTANCE,/inspirational-quotes/7803-i-think-tolerance-and-acceptance-and-love-is,https://assets.passiton.com/quotes/quote_artwork/7803/medium/20220922_thursday_quote.jpg,I think tolerance and acceptance and love is something that feeds every community.,<Author:0x00007faace172638>
ACCEPTANCE,/inspirational-quotes/8254-acceptance-is-simply-love-in-practice-when-you,https://assets.passiton.com/quotes/quote_artwork/8254/medium/20220921_wednesday_quote.jpg,"Acceptance is simply love in practice. When you love, you accept, when you lack love, you judge.",<Author:0x00007faace160f28>
ACCEPTANCE,/inspirational-quotes/8017-as-i-get-older-the-more-i-stay-focused-on-the,https://assets.passiton.com/quotes/quote_artwork/8017/medium/20220920_tuesday_quote.jpg,"As I get older, the more I stay focused on the acceptance of myself and others, and choose compassion over judgment and curiosity over fear.",<Author:0x00007faace1ab938>
DEDICATION,/inspirational-quotes/8360-its-worth-remembering-that-it-is-often-the,https://assets.passiton.com/quotes/quote_artwork/8360/medium/20220919_monday_quote.jpg,"It's worth remembering that it is often the small steps, not the giant leaps, that bring about the most lasting change.",<Author:0x00007faace19a430>
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20220916_friday_quote.jpg,Believe in yourself and go for it.,<Author:0x00007faace1881b8>
BELIEVE IN YOURSELF,/inspirational-quotes/6840-keep-your-dreams-alive-understand-to-achieve,https://assets.passiton.com/quotes/quote_artwork/6840/medium/20220915_thursday_quote.jpg,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.",<Author:0x00007faace1d2650>
BELIEVE IN YOURSELF,/inspirational-quotes/8358-either-i-will-find-a-way-or-i-will-make-one,https://assets.passiton.com/quotes/quote_artwork/8358/medium/20220914_wednesday_quote.jpg,"Either I will find a way, or I will make one.",<Author:0x00007faace1c10a8>
BELIEVE IN YOURSELF,/inspirational-quotes/6545-believe-in-yourself-and-all-that-you-are-know,https://assets.passiton.com/quotes/quote_artwork/6545/medium/20220913_tuesday_quote.jpg,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.,<Author:0x00007faace20bce8>
